uva_id,nome,tipo,ano_colheita,pais_origem_id,vinho_id,rotulo,ano_producao,uva_id,pais_producao_id
0,Sauvignon Blanc,branco,1974,0,11,shy-sauvignon,1974,31,0
0,Sauvignon Blanc,branco,1974,0,77,jolly-rosé,1974,31,0
0,Sauvignon Blanc,branco,1974,0,83,balanced-amarone,1974,57,1
0,Sauvignon Blanc,branco,1974,0,87,relaxed-barbaresco,1974,31,0
0,Sauvignon Blanc,branco,1974,0,117,coplanar-chablis,1974,31,1
0,Sauvignon Blanc,branco,1974,0,121,equilateral-pinot,1974,57,2
0,Sauvignon Blanc,branco,1974,0,125,radiant-chablis,1974,57,2
0,Sauvignon Blanc,branco,1974,0,126,hoary-sauvignon,1974,57,2
0,Sauvignon Blanc,branco,1974,0,151,absolute-rosé,1974,57,3
0,Sauvignon Blanc,branco,1974,0,158,sparse-chianti,1974,57,1
0,Sauvignon Blanc,branco,1974,0,190,relative-auslese,1974,57,1
0,Sauvignon Blanc,branco,1974,0,197,ragged-albariño,1974,31,0
0,Sauvignon Blanc,branco,1974,0,227,kind-rosé,1974,57,1
0,Sauvignon Blanc,branco,1974,0,273,crabby-shiraz,1974,57,1
0,Sauvignon Blanc,branco,1974,0,282,planar-chianti,1974,57,2
0,Sauvignon Blanc,branco,1974,0,316,average-chardonnay,1974,57,1
0,Sauvignon Blanc,branco,1974,0,330,quiet-champagne,1974,57,0
0,Sauvignon Blanc,branco,1974,0,333,cruel-moscato,1974,31,3
0,Sauvignon Blanc,branco,1974,0,364,best-bardolino,1974,57,1
0,Sauvignon Blanc,branco,1974,0,420,swarm-dolcetto,1974,31,0
0,Sauvignon Blanc,branco,1974,0,479,glad-prosecco,1974,31,0
4,Sultana,branco,1920,1,39,lower-chianti,1920,7,2
4,Sultana,branco,1920,1,51,colorful-chinon,1920,7,2
4,Sultana,branco,1920,1,76,plum-grappa,1920,62,0
4,Sultana,branco,1920,1,112,freezing-prosecco,1920,7,3
4,Sultana,branco,1920,1,118,indigo-bardolino,1920,62,1
4,Sultana,branco,1920,1,122,beige-bardolino,1920,62,0
4,Sultana,branco,1920,1,134,faint-barbaresco,1920,7,3
4,Sultana,branco,1920,1,137,adaptive-champagne,1920,4,3
4,Sultana,branco,1920,1,149,messy-auslese,1920,62,2
4,Sultana,branco,1920,1,166,acute-beaujolais,1920,62,3
4,Sultana,branco,1920,1,212,presto-moscato,1920,73,3
4,Sultana,branco,1920,1,221,intense-chardonnay,1920,7,3
4,Sultana,branco,1920,1,223,breezy-chablis,1920,73,2
4,Sultana,branco,1920,1,276,optical-blanc,1920,4,3
4,Sultana,branco,1920,1,281,wicker-auslese,1920,73,1
4,Sultana,branco,1920,1,293,formal-prosecco,1920,4,3
4,Sultana,branco,1920,1,297,isochoric-claret,1920,7,3
4,Sultana,branco,1920,1,310,terminal-mead,1920,73,1
4,Sultana,branco,1920,1,324,complicated-shiraz,1920,62,3
4,Sultana,branco,1920,1,356,navy-grappa,1920,73,1
4,Sultana,branco,1920,1,361,champagne-rosé,1920,7,0
4,Sultana,branco,1920,1,363,blaring-moscato,1920,7,1
4,Sultana,branco,1920,1,371,ascent-pinot,1920,62,3
4,Sultana,branco,1920,1,387,coplanar-prosecco,1920,4,1
4,Sultana,branco,1920,1,392,heather-dolcetto,1920,10,0
4,Sultana,branco,1920,1,394,frigid-chianti,1920,62,2
4,Sultana,branco,1920,1,404,neat-barolo,1920,4,2
4,Sultana,branco,1920,1,410,maroon-chablis,1920,73,2
4,Sultana,branco,1920,1,411,happy-chardonnay,1920,73,3
4,Sultana,branco,1920,1,432,white-sherry,1920,4,2
4,Sultana,branco,1920,1,447,genteel-arneis,1920,62,2
4,Sultana,branco,1920,1,452,chilly-chablis,1920,4,0
4,Sultana,branco,1920,1,458,allegro-grappa,1920,73,1
4,Sultana,branco,1920,1,471,exothermic-shiraz,1920,7,3
4,Sultana,branco,1920,1,485,fixed-prosecco,1920,4,2
4,Sultana,branco,1920,1,492,another-sauvignon,1920,4,0
6,Riesling,branco,1964,1,30,funny-barbaresco,1964,60,1
6,Riesling,branco,1964,1,36,frosty-claret,1964,20,2
6,Riesling,branco,1964,1,54,annoying-zinfandel,1964,20,3
6,Riesling,branco,1964,1,59,gray-auslese,1964,60,1
6,Riesling,branco,1964,1,164,stale-lambrusco,1964,60,3
6,Riesling,branco,1964,1,204,rapid-grappa,1964,60,1
6,Riesling,branco,1964,1,231,staccato-zinfandel,1964,20,3
6,Riesling,branco,1964,1,255,humble-merlot,1964,60,2
6,Riesling,branco,1964,1,307,brown-champagne,1964,60,1
6,Riesling,branco,1964,1,319,medium-madeira,1964,60,2
6,Riesling,branco,1964,1,335,figurative-amarone,1964,60,1
6,Riesling,branco,1964,1,337,trusting-chardonnay,1964,20,2
6,Riesling,branco,1964,1,400,vain-pinot,1964,20,1
6,Riesling,branco,1964,1,481,timid-moscato,1964,60,2
6,Riesling,branco,1964,1,484,vivid-madeira,1964,20,3
6,Riesling,branco,1964,1,487,oriented-arneis,1964,60,3
6,Riesling,branco,1964,1,489,mild-chinon,1964,20,0
7,Sauvignon Blanc,branco,1920,2,39,lower-chianti,1920,7,2
7,Sauvignon Blanc,branco,1920,2,51,colorful-chinon,1920,7,2
7,Sauvignon Blanc,branco,1920,2,76,plum-grappa,1920,62,0
7,Sauvignon Blanc,branco,1920,2,112,freezing-prosecco,1920,7,3
7,Sauvignon Blanc,branco,1920,2,118,indigo-bardolino,1920,62,1
7,Sauvignon Blanc,branco,1920,2,122,beige-bardolino,1920,62,0
7,Sauvignon Blanc,branco,1920,2,134,faint-barbaresco,1920,7,3
7,Sauvignon Blanc,branco,1920,2,137,adaptive-champagne,1920,4,3
7,Sauvignon Blanc,branco,1920,2,149,messy-auslese,1920,62,2
7,Sauvignon Blanc,branco,1920,2,166,acute-beaujolais,1920,62,3
7,Sauvignon Blanc,branco,1920,2,212,presto-moscato,1920,73,3
7,Sauvignon Blanc,branco,1920,2,221,intense-chardonnay,1920,7,3
