full,0
prof_local,2
len,117
15,3
59,4
47,7
11,8
31,11
47,14
19,16
23,17
23,20
71,22
35,23
67,33
47,37
19,38
7,39
47,44
7,51
27,56
63,57
47,60
3,62
63,64
43,67
23,72
59,75
31,77
23,86
31,87
47,97
23,103
59,105
35,108
19,110
7,112
15,113
31,117
51,128
59,133
7,134
59,136
67,138
39,142
51,143
15,144
11,156
47,161
15,163
63,165
15,171
15,179
47,180
51,187
3,193
15,194
23,195
31,197
23,198
11,199
11,207
39,211
43,214
11,217
7,221
67,226
35,230
35,232
23,235
63,236
35,238
23,239
11,243
11,254
27,259
51,260
15,261
11,263
51,265
15,268
39,287
7,297
3,302
35,303
19,317
71,318
55,326
43,331
31,333
35,339
19,341
15,352
11,355
15,357
71,358
23,359
27,360
7,361
35,362
7,363
59,365
27,367
63,369
55,385
3,417
31,420
71,422
11,429
63,442
51,448
3,454
55,456
15,470
7,471
3,472
3,473
55,474
31,479
11,493
end
